Game,name,release,categories,genres,tags,playtime
581810,1166,2017,Single-player;Steam Trading Cards,Nudity;Gore;Action;Adventure;Indie,Action;Indie;Gore,0
581820,Judas,2017,Single-player;Steam Trading Cards,Action;Adventure;Indie,Indie;Action;Adventure,232
581840,Caliper,2017,Single-player;Full controller support,Indie,Indie;Puzzle,0
581890,The Loner,2017,Single-player,Nudity;Violent;Adventure;Indie,Adventure;Indie;Violent,0
581910,Iron Armada,2017,Single-player;Multi-player;Online Multi-Player,Action;Casual;Strategy;Early Access,Early Access;Strategy;Casual,0
581920,Dunk It (VR Basketball),2017,Single-player,Sports,Sports;VR,0
581970,Zombie Ballz,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Leaderboards;Includes level editor,Action;Casual;Indie,Puzzle;Level Editor;Indie,132
581980,Candy Machine,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Simulation;Strategy,Strategy;Indie;Casual,264
582010,MONSTER HUNTER: WORLD,2018,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action,Action;Hunting;Multiplayer,6512
582030,Oblivion Tesseract VR,2017,Single-player,Action;Indie;RPG;Strategy,Strategy;Action;Indie,0
582050,HVRGUN,2017,Single-player;VR Support;Partial Controller Support,Action;Indie;Early Access,Early Access;Action;Indie,0
582160,Assassin's Creed® Origins,2017,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,Action;Adventure;RPG,Open World;Assassin;Action,2908
582200,The Physiology of the Eye,2017,Single-player,Casual;Simulation,Casual;Simulation;VR,0
582210,VRemin (Virtual Reality Theremin),2017,Single-player;Steam Trading Cards,Simulation,Simulation;VR;Music,0
582220,Virtual Idea Area,2017,Includes level editor,Design & Illustration;Utilities,Design & Illustration;Utilities,0
582260,Extreme-G 2,2017,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Racing,Racing;Classic;Futuristic,0
582270,Everything,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats,Casual;Indie;RPG;Simulation,Casual;Simulation;Philisophical,198
582280,PIGMENTUM,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;2D,253
582290,Rest House,2017,Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Early Access,Early Access;Adventure;Puzzle,0
582330,Warriors: Rise to Glory!,2018,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Indie;RPG;Strategy;Early Access,Early Access;Casual;Strategy,0
582350,Zombie Killin',2017,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Casual;Indie,Indie;Action;Casual,0
582360,Spud Cricket VR,2017,Single-player;Local Multi-Player;Steam Achievements;Steam Leaderboards,Casual;Sports,Casual;Sports;VR,0
582370,Snowflake's Chance,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Violent;Action;Adventure;Indie,Action;Adventure;Indie,0
582390,Ski Sport: Jumping VR,2017,Single-player,Simulation;Sports;Early Access,Early Access;Simulation;Sports,0
582430,Jumping Tank,2017,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie,Casual;Indie;Action,269
582440,Nine,2017,Single-player,Gore;Indie,Indie;Gore,0
582500,We Were Here,2017,Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Free to Play,Free to Play;Puzzle;Co-op,115
582530,Wacky Spores: The Chase,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Casual;RPG;Strategy,Casual;Strategy;RPG,0
582550,Passpartout: The Starving Artist,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Simulation,Casual;Simulation;Indie,133
