Game,name,release,categories,genres,tags,playtime
10,Counter-Strike,2000,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,17612
20,Team Fortress Classic,1999,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,277
30,Day of Defeat,2003,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,187
40,Deathmatch Classic,2001,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,258
50,Half-Life: Opposing Force,1999,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,624
60,Ricochet,2000,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,175
70,Half-Life,1998,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,1300
80,Counter-Strike: Condition Zero,2004,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,427
130,Half-Life: Blue Shift,2001,Single-player,Action,FPS;Action;Sci-fi,361
220,Half-Life 2,2004,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,691
240,Counter-Strike: Source,2004,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,6842
280,Half-Life: Source,2004,Single-player,Action,FPS;Action;Sci-fi,190
300,Day of Defeat: Source,2010,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer,1356
320,Half-Life 2: Deathmatch,2004,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,311
340,Half-Life 2: Lost Coast,2005,Single-player;Commentary available,Action,FPS;Action;Singleplayer,46
360,Half-Life Deathmatch: Source,2006,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,102
380,Half-Life 2: Episode One,2006,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,281
400,Portal,2007,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,288
420,Half-Life 2: Episode Two,2007,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,354
440,Team Fortress 2,2007,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,8495
500,Left 4 Dead,2008,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,897
550,Left 4 Dead 2,2009,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,1615
570,Dota 2,2013,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,23944
620,Portal 2,2011,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person,1102
630,Alien Swarm,2010,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action,371
730,Counter-Strike: Global Offensive,2012,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,22494
1002,Rag Doll Kung Fu,2005,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer,0
1200,Red Orchestra: Ostfront 41-45,2006,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS,232
1250,Killing Floor,2009,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op,1328
1300,SiN Episodes: Emergence,2006,Single-player;Stats,Action,Action;FPS;Cyberpunk,0
1500,Darwinia,2005,Single-player,Indie;Strategy,Strategy;Indie;RTS,182
1510,Uplink,2006,Single-player,Indie;Strategy,Hacking;Indie;Strategy,65
1520,DEFCON,2006,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer,80
1530,Multiwinia,2008,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy,121
1600,Dangerous Waters,2006,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0
1610,Space Empires IV Deluxe,2006,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi,0
1630,Disciples II: Rise of the Elves ,2006,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy,0
1640,Disciples II: Gallean's Return,2006,Single-player;Multi-player;Co-op,Strategy,Turn-Based Strategy;Strategy;Classic,9
1670,Iron Warriors: T - 72 Tank Command ,2006,Single-player;Multi-player,Strategy,Simulation;Strategy;Tanks,0
1690,Space Empires V,2006,Single-player;Multi-player,Strategy,Strategy;4X;Space,35
1700,Arx Fatalis,2007,Single-player,RPG,RPG;First-Person;Classic,11
1840,Source Filmmaker,2012,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,239
1900,Earth 2160,2006,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy,Strategy;RTS;Sci-fi,405
1930,Two Worlds Epic Edition,2009,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy,484
2100,Dark Messiah of Might & Magic,2006,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG,RPG;Action;First-Person,634
2200,Quake III Arena,2007,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic,123
2210,Quake IV,2011,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Shooter,36
2270,Wolfenstein 3D,2007,Single-player;Steam Cloud,Action,FPS;Classic;Action,69
2280,Ultimate Doom,2007,Single-player;Steam Cloud,Action,Classic;FPS;Action,125
2290,Final DOOM,2007,Single-player;Steam Cloud,Action,FPS;Action;Classic,120
2300,DOOM II,2007,Single-player;Multi-player;Steam Cloud,Action,Classic;FPS;Action,90
2310,QUAKE,2007,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Classic;Action,167
2320,QUAKE II,2007,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Action;Classic,291
2330,QUAKE II Mission Pack: The Reckoning,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Classic,32
2340,QUAKE II Mission Pack: Ground Zero,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,1
2350,QUAKE III: Team Arena,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Competitive,0
2360,HeXen: Beyond Heretic,2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,50
2370,HeXen: Deathkings of the Dark Citadel,2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,0
2390,Heretic: Shadow of the Serpent Riders,2007,Single-player;Multi-player;Steam Cloud,Action,Classic;Action;FPS,0
2400,The Ship: Murder Party,2006,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Action;Indie;RPG,Multiplayer;Indie;Action,233
2450,Bloody Good Time,2010,Single-player;Multi-player;Steam Achievements,Action,Action;Multiplayer;FPS,193
2500,Shadowgrounds,2006,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Sci-fi;Top-Down Shooter,186
2520,Gumboy - Crazy Adventures™,2006,Single-player,Casual;Indie,Casual;Indie;Singleplayer,0
2590,Alpha Prime,2007,Single-player,Action,Action;FPS;Sci-fi,0
2600,Vampire: The Masquerade - Bloodlines,2007,Single-player,Action,RPG;Vampire;Cult Classic,350
2610,GUN™,2006,Single-player,Action,Western;Action;Open World,462
2620,Call of Duty®,2006,Single-player;Multi-player,Action,FPS;World War II;Action,545
2630,Call of Duty® 2,2006,Single-player;Multi-player,Action,Action;World War II;FPS,750
2640,Call of Duty: United Offensive,2006,Single-player;Multi-player,Action,Action;World War II;FPS,0
2710,Act of War: Direct Action,2008,Single-player;Multi-player,Action,Action;Strategy;RTS,0
2720,ThreadSpace: Hyperbol,2007,Single-player;Multi-player;Includes level editor,Action;Indie;Strategy,Strategy;Action;Indie,0
2780,ARMA: Combat Operations,2008,Single-player;Multi-player;Includes level editor,Action,Action;Simulation;Shooter,0
2800,X2: The Threat,2006,Single-player;Captions available;Steam Cloud,Strategy,Space;Strategy;Simulation,732
2810,X3: Reunion,2006,Single-player;Captions available;Steam Cloud,Strategy,Space;Simulation;Strategy,831
2820,X3: Terran Conflict,2008,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Simulation;Strategy,Space;Simulation;Sci-fi,972
2840,X: Beyond the Frontier,2010,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Space;Strategy,648
2850,X: Tension,2010,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Strategy;Space,13
2870,X Rebirth,2013,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sci-fi,1744
2900,688(I) Hunter/Killer,2006,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0
2910,Fleet Command,2006,Single-player,Strategy,Strategy;Simulation;Naval,0
2920,Sub Command,2006,Single-player;Multi-player;Co-op;Includes level editor,Strategy,Strategy;Simulation;Naval,0
2990,FlatOut 2™,2006,Single-player,Racing,Racing;Destruction;Multiplayer,293
3010,Xpand Rally,2006,Single-player;Multi-player,Racing,Racing;Multiplayer,939
3020,Call of Juarez™,2007,Single-player;Multi-player;Steam Trading Cards,Action,Western;Action;FPS,46
3050,Xpand Rally Xtreme,2008,Single-player;Multi-player,Racing,Racing;Offroad;Simulation,0
3130,Men of War: Red Tide,2009,Single-player;Steam Cloud,Strategy,Strategy;World War II;RTS,0
3170,King's Bounty: Armored Princess,2009,Single-player;Steam Cloud,RPG;Strategy,RPG;Turn-Based Strategy;Strategy,1422
3230,Genesis Rising,2007,Single-player;Multi-player,Strategy,Strategy;Space;Sci-fi,0
3260,Safecracker: The Ultimate Puzzle Adventure,2007,Single-player,Adventure;Casual,Puzzle;Adventure;Casual,1
3270,Painkiller Overdose,2007,Single-player;Multi-player,Action,Action;FPS;Shooter,270
3330,Zuma Deluxe,2006,Single-player,Casual,Casual;Match 3;Puzzle,267
3410,Heavy Weapon Deluxe,2006,Single-player,Casual,Casual;Arcade;Action,0
3480,Peggle Deluxe,2007,Single-player,Casual,Casual;Puzzle;Arcade,214
3483,Peggle Extreme,2007,Single-player,Casual,Casual;Puzzle;Free to Play,1
3490,Venice Deluxe,2007,Single-player,Casual,Casual,0
3500,Mystery P.I.™ - The Lottery Ticket,2007,Single-player,Casual,Casual;Hidden Object,0
3510,Amazing Adventures The Lost Tomb™,2007,Single-player,Casual,Casual;Hidden Object;Puzzle,0
3520,Mystery P.I.™ - The Vegas Heist,2008,Single-player,Casual,Casual;Hidden Object,0
3530,Amazing Adventures Around the World,2009,Single-player,Casual,Casual;Hidden Object;Puzzle,0
3540,Peggle™ Nights,2008,Single-player,Casual,Casual;Puzzle;Singleplayer,237
3560,Bejeweled Twist,2008,Single-player,Strategy;Casual,Casual;Strategy;Match 3,0
3570,Mystery P.I.™ - The New York Fortune,2009,Single-player,Casual,Casual;Hidden Object,0
3580,The Wizard's Pen™,2009,Single-player,Casual,Casual;Hidden Object,0
3590,Plants vs. Zombies GOTY Edition,2009,Single-player;Steam Achievements,Strategy,Tower Defense;Zombies;Strategy,480
3600,Escape Rosecliff Island,2009,Single-player,Casual,Casual;Hidden Object;Puzzle,0
3610,Mystery P.I. - Lost in Los Angeles,2009,Single-player,Casual,Casual;Hidden Object,0
3620,Zuma's Revenge!,2009,Single-player;Steam Achievements;Stats,Action;Casual,Casual;Action;Match 3,0
3700,Sniper Elite,2009,Single-player;Steam Trading Cards,Action,Action;Sniper;Stealth,262
3710,Judge Dredd: Dredd vs. Death,2009,Single-player;Multi-player;Co-op,Action,Action;FPS;First-Person,8
3720,Evil Genius,2009,Single-player,Strategy,Base-Building;Strategy;Villain Protagonist,287
3730,Aliens versus Predator Classic 2000,2010,Single-player;Multi-player,Action,FPS;Action;Classic,20
3800,Advent Rising,2006,Single-player;Steam Trading Cards,Action,Action;Sci-fi;Story Rich,0
3810,BloodRayne,2006,Single-player;Steam Trading Cards,Action,Action;Vampire;Female Protagonist,111
3820,BloodRayne 2,2006,Single-player;Steam Trading Cards,Action,Action;Vampire;Female Protagonist,771
3830,Psychonauts,2006,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Platformer;Comedy;Adventure,491
3900,Sid Meier's Civilization® IV,2006,Single-player;Multi-player;Includes level editor,Strategy,Strategy;Turn-Based Strategy;Turn-Based,49
3910,Sid Meier's Civilization® III Complete,2006,Single-player;Multi-player;Includes level editor,Strategy,Strategy;Turn-Based Strategy;Turn-Based,1166
3920,Sid Meier's Pirates!,2005,Single-player,RPG,Pirates;Open World;RPG,296
3960,Shattered Union,2006,Single-player;Multi-player,Strategy,Strategy;Turn-Based Strategy,0
3980,CivCity: Rome,2007,Single-player,Strategy,Strategy;City Builder;Simulation,0
3990,Civilization IV®: Warlords,2007,Single-player,Strategy,Strategy;Turn-Based;4X,0
4000,Garry's Mod,2006,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Indie;Simulation,Sandbox;Multiplayer;Funny,12422
4100,Poker Superstars II,2006,Single-player,Casual;Strategy;Indie,Card Game,0
4230,RACE - The WTCC Game,2006,Single-player;Multi-player,Racing,Racing;Simulation,0
4290,RACE: Caterham Expansion,2007,Single-player;Multi-player,Racing,Racing;Simulation,0
4300,RoboBlitz,2006,Single-player;Partial Controller Support;Includes level editor,Action;Indie,Action;Indie;Puzzle,78
4420,Silverfall,2007,Single-player,RPG,RPG;Hack and Slash;Action RPG,0
4460,City Life 2008,2008,Single-player,Simulation;Strategy,Simulation;Strategy;City Builder,0
4470,Silverfall: Earth Awakening,2008,Single-player;Multi-player,RPG,RPG;Hack and Slash;Action RPG,0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,Single-player;Multi-player,Action;RPG,Atmospheric;Post-apocalyptic;Open World,493
4520,Full Spectrum Warrior,2007,Single-player;Multi-player;Co-op,Action;Strategy,Strategy;Action;Tactical,124
4530,Full Spectrum Warrior: Ten Hammers,2007,Single-player;Multi-player;Co-op,Action;Strategy,Strategy;Action;Tactical,1
4560,Company of Heroes - Legacy Edition,2007,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,Violent;Action;Strategy,Strategy;RTS;World War II,175
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Warhammer 40K;RTS,309
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007,Single-player;Multi-player;Steam Cloud,Strategy,Strategy;Warhammer 40K;RTS,543
4700,Total War: MEDIEVAL II – Definitive Edition,2006,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Medieval;Historical,469
4720,Condemned: Criminal Origins,2012,Single-player,Action,Horror;Action;Atmospheric,312
4760,Rome: Total War™ - Collection,2007,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Historical;Rome,897
4770,Rome: Total War™ - Alexander,2007,Single-player;Multi-player,Strategy,Strategy;RTS;Historical,33
4780,Medieval II: Total War™ Kingdoms,2007,Single-player;Multi-player,Strategy,Strategy;Medieval;Historical,0
4800,Heroes of Annihilated Empires,2006,Single-player;Multi-player,Strategy,Strategy;RTS;RPG,0
4850,Cossacks: Back to War,2010,Single-player;Multi-player,Strategy,Strategy;RTS;Classic,1134
4870,Cossacks: Art of War,2011,Single-player,Strategy,Strategy;RTS;Historical,0
4880,Cossacks: European Wars,2011,Single-player,Strategy,Strategy;RTS;Historical,1
4890,Cossacks II: Battle for Europe,2011,Single-player;Multi-player;Online Multi-Player;Local Multi-Player,Strategy,Strategy;RTS;Historical,71
4900,Zen of Sudoku,2006,Single-player,Casual;Indie,Casual;Indie;Puzzle,0
4920,Natural Selection 2,2012,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Indie;Strategy,Multiplayer;Strategy;FPS,627
6000,STAR WARS™ Republic Commando™,2009,Single-player;Multi-player;Local Multi-Player;Steam Cloud,Action,Star Wars;Action;FPS,369
6010,Indiana Jones® and the Fate of Atlantis™,2009,Single-player;Steam Cloud,Adventure,Adventure;Point & Click;Classic,419
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Sci-fi,1254
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,2009,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Classic,127
6040,The Dig®,2009,Single-player;Steam Cloud,Adventure,Adventure;Point & Click;Sci-fi,801
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2009,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Multiplayer,618
6080,Thrillville®: Off the Rails™,2009,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud,Action;Adventure;Racing;Simulation;Strategy,Simulation;Strategy;Action,17
6090,Armed and Dangerous®,2009,Single-player;Steam Cloud,Action,Action;Comedy;Third-Person Shooter,100
6120,Shank,2010,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Beat 'em up,255
6200,Ghost Master®,2006,Single-player,Strategy,Strategy;Comedy;Puzzle,21
6210,Vegas: Make It Big™,2006,Single-player,Strategy,Strategy;Simulation;Management,0
6220,FlatOut,2007,Single-player;Multi-player,Racing,Racing;Destruction;Driving,78
6250,Making History: The Calm & the Storm,2007,Single-player;Multi-player,Action;Strategy,Strategy;Action;Grand Strategy,0
6270,Ducati World Championship,2007,Single-player;Multi-player,Racing,Racing;Simulation,0
6300,Dreamfall: The Longest Journey,2007,Single-player,Adventure;RPG,Adventure;Female Protagonist;Story Rich,20
6310,The Longest Journey,2007,Single-player,Action;Adventure;RPG,Adventure;Point & Click;Female Protagonist,14
6370,Bloodline Champions,2011,Single-player;Multi-player;MMO,Action;Free to Play;Massively Multiplayer,Free to Play;Action;MOBA,70
6400,Joint Task Force,2007,Single-player;Multi-player;Co-op;Shared/Split Screen,Action;Strategy,Strategy;Action;RTS,0
6420,Nexus - The Jupiter Incident,2007,Single-player;Multi-player;Includes level editor,Indie;Simulation;Strategy,Strategy;Space;Sci-fi,0
6510,Lost Planet™: Extreme Condition,2007,Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled,Action;Adventure,Action;Adventure;Third-Person Shooter,74
6550,Devil May Cry® 3 Special Edition,2007,Single-player;Partial Controller Support,Action,Action;Hack and Slash;Great Soundtrack,90
6800,Commandos: Behind Enemy Lines,2007,Single-player;Multi-player;Co-op,Action,Strategy;Stealth;Action,63
6810,Commandos: Beyond the Call of Duty,2007,Single-player;Multi-player;Co-op,Action,Action;Strategy;Tactical,12
6830,Commandos 2: Men of Courage,2007,Single-player;Multi-player;Co-op,Action,Strategy;Tactical;Stealth,201
6840,Commandos 3: Destination Berlin,2007,Single-player;Multi-player;Co-op,Action,Strategy;Action;Tactical,14
6850,Hitman 2: Silent Assassin,2007,Single-player,Action,Stealth;Action;Third Person,63
6860,Hitman: Blood Money,2007,Single-player,Action,Stealth;Action;Third Person,435
6870,Battlestations: Midway,2007,Single-player,Action,Action;World War II;Naval,0
6880,Just Cause,2007,Single-player,Action,Action;Open World;Shooter,20
6900,Hitman: Codename 47,2007,Single-player,Action,Stealth;Action;Classic,62
6910,Deus Ex: Game of the Year Edition,2007,Single-player;Multi-player,Action,Cyberpunk;RPG;Stealth,324
6920,Deus Ex: Invisible War,2007,Single-player,Action,Cyberpunk;Action;FPS,24
6980,Thief: Deadly Shadows,2007,Single-player,Action,Stealth;Atmospheric;Action,254
7000,Tomb Raider: Legend,2007,Single-player;Partial Controller Support,Action;Adventure,Adventure;Action;Female Protagonist,714
7010,Project: Snowblind,2007,Single-player;Multi-player,Action,Action;FPS;Cyberpunk,0
7020,Rogue Trooper,2007,Single-player;Multi-player;Co-op,Action,Action;Third-Person Shooter;Sci-fi,0
7110,Jade Empire™: Special Edition,2007,Single-player;Partial Controller Support,RPG,RPG;Fantasy;Story Rich,0
7200,Trackmania United Forever Star Edition,2008,Single-player;Multi-player;Includes level editor,Racing,Racing;Multiplayer;Level Editor,4774
7210,"Runaway, A Road Adventure",2007,Single-player,Adventure,Adventure;Point & Click;Mystery,14
7220,"Runaway, The Dream of The Turtle",2007,Single-player,Adventure,Adventure;Point & Click;Mystery,0
7260,Loki,2007,Single-player;Multi-player,RPG,RPG;Hack and Slash;Action,0
7340,Azada,2010,Single-player,Casual;Indie,Casual;Indie;Puzzle,0
7510,X-Blades,2009,Single-player;Steam Trading Cards;Partial Controller Support,Nudity;Violent;Action;Adventure;RPG,Action;Hack and Slash;Female Protagonist,313
7520,Two Worlds II HD,2011,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Nudity;Violent;RPG,RPG;Open World;Fantasy,327
7530,Two Worlds II Castle Defense,2011,Single-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Tower Defense;Fantasy,320
7600,Sid Meier's Railroads!,2007,Single-player;Multi-player,Strategy,Strategy;Trains;Management,165
7610,Railroad Tycoon 3,2007,Single-player;Multi-player,Strategy,Strategy;Management;Trains,46
7620,Railroad Tycoon II Platinum,2007,Single-player,Strategy,Strategy;Management;Trains,1244
7650,X-COM: Terror From the Deep,2007,Single-player,Strategy,Strategy;Turn-Based;Sci-fi,66
7660,X-COM: Apocalypse,2008,Single-player,Strategy,Strategy;Turn-Based;Tactical,18
7730,X-COM: Interceptor,2008,Single-player;Multi-player,Strategy,Strategy;Sci-fi;Space,0
7760,X-COM: UFO Defense,2008,Single-player,Strategy,Strategy;Classic;Turn-Based Strategy,2235
7770,X-COM: Enforcer,2008,Single-player;Multi-player,Strategy,Strategy;Action;Shooter,0
7830,Men of War™,2009,Single-player;Multi-player;Steam Cloud;Includes level editor,Strategy,Strategy;World War II;RTS,0
7840,Death Track®: Resurrection,2009,Single-player;Steam Cloud,Racing,Racing;Action;Shooter,0
7860,NecroVision,2009,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;World War I,113
7940,Call of Duty® 4: Modern Warfare®,2007,Single-player;Multi-player,Action,FPS;Action;Multiplayer,1417
8000,Tomb Raider: Anniversary,2007,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Female Protagonist,239
8080,Kane and Lynch: Dead Men™,2007,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Action,Action;Third-Person Shooter;Crime,209
8100,Conflict: Denied Ops,2008,Single-player,Action,Action;FPS;Singleplayer,0
8140,Tomb Raider: Underworld,2008,Single-player,Action;Adventure,Adventure;Action;Female Protagonist,313
8170,Battlestations Pacific,2009,Single-player;Multi-player;Partial Controller Support,Action;Strategy,World War II;Strategy;Action,132
8190,Just Cause 2,2010,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Open World;Action;Sandbox,519
8310,Bone: Out From Boneville,2008,Single-player,Adventure,Adventure;Point & Click,0
8320,Bone: The Great Cow Race,2008,Single-player,Adventure,Adventure;Point & Click,0
8330,Telltale Texas Hold ‘Em,2008,Single-player,Casual,Casual;Card Game,0
8340,Strong Bad's Cool Game for Attractive People: Season 1,2008,Single-player,Adventure,Adventure;Point & Click;Comedy,0
8400,Geometry Wars: Retro Evolved,2007,Single-player;Full controller support,Casual,Arcade;Twin Stick Shooter;Casual,109
8500,EVE Online,2010,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards,Action;Free to Play;Massively Multiplayer;RPG;Strategy,Space;Massively Multiplayer;Sci-fi,5123
8600,RACE 07,2007,Single-player;Multi-player,Racing,Racing;Simulation;Driving,1636
8790,GTR 2 FIA GT Racing Game,2012,Single-player;Multi-player,Racing;Simulation;Sports,Racing;Simulation;Sports,0
8800,Civilization IV: Beyond the Sword,2007,Single-player,Strategy,Strategy;Turn-Based Strategy;4X,108
8870,BioShock Infinite,2013,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,FPS;Story Rich;Action,614
8880,Freedom Force,2009,Single-player;Multi-player,RPG;Strategy,RPG;Strategy;Superhero,16
8890,Freedom Force vs. the Third Reich,2009,Single-player;Multi-player,RPG;Strategy,RPG;Strategy;Superhero,23
8930,Sid Meier's Civilization® V,2010,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy,Turn-Based Strategy;Strategy;Turn-Based,4760
8970,Axel & Pixel,2010,Single-player;Steam Achievements,Indie,Indie;Point & Click,0
9000,Spear of Destiny,2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,0
9010,Return to Castle Wolfenstein,2007,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic,32
9030,QUAKE Mission Pack 2: Dissolution of Eternity,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,88
9040,QUAKE Mission Pack 1: Scourge of Armagon,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,129
9050,DOOM 3,2007,Single-player;Multi-player;Steam Cloud,Action,Horror;FPS;Action,362
9060,HeXen II,2007,Single-player;Multi-player;Co-op;Steam Cloud,Action,Action;FPS;Classic,10
9160,Master Levels for Doom II,2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,7
9180,Commander Keen,2007,Single-player;Steam Cloud,Action,Platformer;Classic;Action,145
9200,RAGE,2011,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support,Action,FPS;Post-apocalyptic;Action,559
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",2007,Single-player;Multi-player,Strategy,Strategy;Warhammer 40K;RTS,213
9340,Company of Heroes: Opposing Fronts,2007,Single-player;Multi-player;Steam Cloud,Action;Strategy,Strategy;RTS;Action,79
9350,Supreme Commander,2011,Single-player;Multi-player,Strategy,Strategy;RTS;Sci-fi,306
9420,Supreme Commander: Forged Alliance,2011,Single-player;Multi-player,Strategy,Strategy;RTS;Sci-fi,803
